,Зібрана площа. га,Обсяг виробництва (валовий збір) у початково оприбуткованій масі. ц,Урожайність. з 1 га зібраної площі. ц
Одеська область,605000,10580379,17.5
м.Одеса,–,–,–
м.Балта,18665,610518,32.7
м.Білгород-Дністровський,3838,83690,21.8
м.Біляївка,2717,36229,13.3
м.Ізмаїл,450,3140,7
райони,,,
Ананьївський,23306,401449,17.2
Арцизький,26603,368101,13.8
Балтський,8458,270993,32
Білгород-Дністровський,31420,507911,16.2
Біляївський,21740,355424,16.3
Березівський,33019,566220,17.1
Болградський,24985,332300,13.3
Великомихайлівський,32136,373948,11.6
Іванівський,26606,330236,12.4
Ізмаїльський,25826,211119,8.2
Кілійський,15280,328931,21.5
Кодимський,14372,456355,31.8
Лиманський,32072,558800,17.4
Подільський,28111,671202,23.9
Окнянський,20019,389348,19.4
Любашівський,24828,428324,17.3
Миколаївський,10798,255061,23.6
Овідіопольський,15167,416772,27.5
Роздільнянський,22799,314328,13.8
Ренійський,6751,85495,12.7
Савранський,12079,436385,36.1
Саратський,41304,614652,14.9
Тарутинський,31814,573658,18
Татарбунарський,13142,184200,14
Захарівський,12116,160353,13.2
Ширяївський,24579,255237,10.4